area_code,country,state,city
812,"United States",Indiana,"Terre Haute, Bloomington, New Albany, Evansville"
813,"United States",Florida,Tampa
814,"United States",Pennsylvania,"Erie, Warren, Altoona, Johnstown"
815,"United States",Illinois,"Rickford, Freeport, De Kalb, La Salle"
816,"United States",Missouri,"Kansas City, Saint Joseph"
817,"United States",Texas,"Fort Worth"
818,"United States",California,"Glendale, San Fernando"
819,Canada,Quebec,"Hull, Sherbrooke"
828,"United States","North Carolina",Asheville
830,"United States",Texas,Uvalde
831,"United States",California,"Salinas, Santa Cruz"
832,"United States",Texas,Houston
843,"United States","South Carolina","Charleston, Myrtle Beach, Florence"
845,"United States","New York","Poughkeepsie, Middletown"
847,"United States",Illinois,"Waukegan, Des Plaines"
850,"United States",Florida,Tallahassee
856,"United States","New Jersey","Cherry Hill, Vineland"
858,"United States",California,"Solano Beach, northern San Diego area"
859,"United States",Kentucky,Lexington
860,"United States",Connecticut,"Hartford, Norwich"
863,"United States",Florida,"Avon Park, Clewiston"
864,"United States","South Carolina","Greenville, Spartanburg, Anderson"
865,"United States",Tennessee,Knoxville
866,"(All Values)","(All Locations)",Toll-Free
867,Canada,"Northwest Territories","(All Locations)"
867,Canada,Nunavut,"(All Locations)"
867,Canada,"Yukon Territory","(All Locations)"
868,"Trinidad and Tobago","(All Locations)","(All Locations)"
869,"Saint Kitts and Nevis","(All Locations)","(All Locations)"
870,"United States",Arkansas,"Jonesboro, Pine Bluff"
876,Jamaica,"(All Locations)","(All Locations)"
877,"(All Values)","(All Locations)",Toll-Free
880,"(All Values)","(All Locations)","Paid Toll-Free Service (800)"
881,"(All Values)","(All Locations)","Paid Toll-Free Service (888)"
882,"(All Values)","(All Locations)","Paid Toll-Free Service (877)"
888,"(All Values)","(All Locations)",Toll-Free
900,"(All Values)","(All Locations)","Premium Services"
901,"United States",Tennessee,"Memphis, Jackson, Union City"
902,Canada,"Nova Scotia","(All Locations)"
902,Canada,"Prince Edward Island","(All Locations)"
903,"United States",Texas,"Tyler, Sherman"
904,"United States",Florida,Jacksonville
905,Canada,Ontario,"Hamilton area"
906,"United States",Michigan,"Sault Ste. Marie, Escanaba, Marquette"
907,"United States",Alaska,"(All Locations)"
908,"United States","New Jersey",Washington
909,"United States",California,"Pomona, San Bernadino, Temecula"
910,"United States","North Carolina","Fayetteville, Wilmington, Jacksonville"
912,"United States",Georgia,"Waycross, Brunswick, Savannah, Vidalia"
913,"United States",Kansas,"Kansas City, Overland Park"
914,"United States","New York","White Plains"
915,"United States",Texas,"El Paso, Alpine, Midland, Abilene"
916,"United States",California,Sacramento
917,"United States","New York","New York, Bronx, Queens, Brooklyn, Staten Island"
918,"United States",Oklahoma,"Tulsa, Mcalester, Bartlesville"
919,"United States","North Carolina","Raleigh, Durham"
920,"United States",Wisconsin,"Green Bay, Oshkosh, Sheboygan"
925,"United States",California,"Concord, Pleasanton"
931,"United States",Tennessee,"Columbia, Manchester, Clarksville, Cookeville"
936,"United States",Texas,"Huntsville, Lufkin"
937,"United States",Ohio,"Dayton, Springfield, Hillsboro"
940,"United States",Texas,"Vernon, Wichita Falls"
941,"United States",Florida,"Naples, Fort Meyers"
949,"United States",California,"Irvine, Laguna Niguel"
952,"United States",Minnesota,Bloomington
954,"United States",Florida,"Fort Lauderdale"
956,"United States",Texas,"Mcallen, Brownsville"
970,"United States",Colorado,"Grand Junction, Steamboat Springs, Fort Collins"
971,"United States",Oregon,"Portland, Salem"
972,"United States",Texas,"Dallas, Plano"
973,"United States","New Jersey","Paterson, Sussex"
978,"United States",Massachusetts,"Peabody, Fitchburg"
979,"United States",Texas,Wharton
